,x,Fib Prime Differences,log(differences),log(log(differences))
0,1,1,0,0
1,2,2,0.3010299956639811952137388947,-0.5213902276543248032662554140
2,3,8,0.9030899869919435856412166842,-0.04426897293466236597122751068
3,4,76,1.880813592280791351963811265,0.2743457546915394762937315429
4,5,144,2.158362492095249655445011385,0.3341243852477702732324238235
5,6,1364,3.134814370320460110844381861,0.4962118289522626688385403873
6,7,27060,4.432327792261604167768378619,0.6466318711035519309720711782
7,8,485572,5.686253635653505836852957812,0.7548262275155232987802072317
8,9,432980208,8.636468044730180710983930661,0.9363361704541704188193830935
9,10,2537720636,9.404443811249043019549807257,0.9733331160110070419992008226
10,11,99194850123540424,16.99648912557166417072040585,1.230359220739442073084927436
11,12,1066340417392515742719816672,27.02789587053880507355085720,1.431812237064484191205097394
12,13,18068361982601567485634851748,28.25691878265710331311680719,1.451124803349584233514737993
13,14,475420437734698220747368027166749382927701416997422491262175438295486052324,74.67707784757435602077554948,1.873187315443307628304139909
14,15,529892711006095146371601822089563922829085592280151578919488146277576292865708312740786128,89.72418794557282446251355915,1.952909536413439541185412846
15,16,857384416798688205322146546398461722061337599142249183459012869301255270820177904036305984,89.93317558582280358593241200,1.953919928841573920048832762
16,17,3060332715356740246727199661980530961719026981995566713441594881289435212923061330849093097596,93.48576864497454086025623552,1.970745503178715344255348889
17,18,10597999265298429012607159126474449098667776718201310647127655941645842672396161569055105380262327070463960,106.0252238850710406202114611,2.025409198197988912018845146
18,19,36684474316070380062208312155543030807429081897782713954834833446485208051513417883557139534739247260831948007904935960,118.5644823000697646463677865,2.073954609337935043284631160
19,20,59356726302841575762469269714649234575004330510681838001552021920611246317114918006288254066305713816409502405227008760,118.7734699403198688460919603,2.074719444473216372752169932
