x,Fib Prime Indices,Gaps,ln(gaps)
1,3,1,0
2,4,1,0
3,5,2,0.693147181
4,7,4,1.386294361
5,11,2,0.693147181
6,13,4,1.386294361
7,17,6,1.791759469
8,23,6,1.791759469
9,29,14,2.63905733
10,43,4,1.386294361
11,47,36,3.583518938
12,83,48,3.871201011
13,131,6,1.791759469
14,137,222,5.402677382
15,359,72,4.276666119
16,431,2,0.693147181
17,433,16,2.772588722
18,449,60,4.094344562
19,509,60,4.094344562
20,569,2,0.693147181
21,571,2400,7.783224016
22,2971,1752,7.468513271
23,4723,664,6.498282149
24,5387,3924,8.274866821
25,9311,366,5.902633333
26,9677,4754,8.466741648
27,14431,11130,9.317399444
28,25561,5196,8.555644378
29,30757,5242,8.564458384
30,35999,1512,7.321188557
31,37511,13322,9.497172083
32,50833,31006,10.34193601
33,81839,23072,10.04637504
34,104911,25110,10.13102145
35,130021,18070,9.802008384
36,148091,53016,10.87834903
37,201107,196272,12.18725673
38,397379,36402,10.502379
39,433781,156260,11.95927657
40,590041,3648,8.201934351
41,593689,11022,9.307648554
42,604711,326806,12.697122
43,931517,118380,11.68165507
44,1049897,235710,12.37035751
45,1285607,350400,12.76683064
46,1636007,167052,12.02606042
47,1803059,165662,12.01770485
48,1968721,935632,13.74897752
49,2904353,340016,12.73674795
50,3244369,95998,11.47208264
51,3340367,,
