x1,log(log(fib primes)),x2,ln(fibPrime Indices),x3,log(fib prime indices),x4,fib_indices_rate_of_change,x5,lucas primes,log(log(lucas_primes)),x6,index,ln(index),log(index),ln(ln(index)),ln(ln(ln(index))),loga(index),loga(loga(index)),loga(loga(loga(index))),loga(loga(loga(loga(index)))),x7,Fib primes,Diff between Fib Primes,log(differences),log(log(differences)),x8,lucas primes,difference between LPs,log(differences1),log(log(differences1))
1,-0.521390228,1,1.098612289,1,0.477121255,1,0,1,2,-0.521390228,1,4,1.386294361,0.602059991,0.32663426,-1.118914205,1.791528471,3.198026389,6.376283127,10.1610878,1,2,,,,1,2,,,
2,-0.321371236,2,1.386294361,2,0.602059991,2,1,2,3,-0.321371236,2,5,1.609437912,0.698970004,0.475884995,-0.742579061,2.610141134,5.262155014,9.107758131,12.11665055,2,3,1,0,,2,3,1,0,
3,-0.155541461,3,1.609437912,3,0.698970004,3,1,3,7,-0.073092906,3,7,1.945910149,0.84509804,0.665729811,-0.406871381,3.651404816,7.103449518,10.75342131,13.02766391,3,5,2,0.301029996,-0.521390228,3,7,4,0.602059991,-0.220360232
4,0.046863106,4,1.945910149,4,0.84509804,4,2,4,11,0.017614523,4,11,2.397895273,1.041392685,0.874591383,-0.133998493,4.796971891,8.600106813,11.80208562,13.53803854,4,13,8,0.903089987,-0.044268973,4,11,4,0.602059991,-0.220360232
5,0.289898735,5,2.397895273,5,1.041392685,5,4,5,29,0.165065584,5,13,2.564949357,1.113943352,0.941938735,-0.059815044,5.166359651,9.0069893,12.055628,13.65462016,5,89,76,1.880813592,0.274345755,5,29,18,1.255272505,0.098738016
6,0.374263557,6,2.564949357,6,1.113943352,6,2,6,47,0.223261691,6,17,2.833213344,1.230448921,1.041411525,0.040577028,5.711949498,9.557621239,12.38108599,13.80072674,6,233,144,2.158362492,0.334124385,6,47,18,1.255272505,0.098738016
7,0.50559828,7,2.833213344,7,1.230448921,7,4,7,199,0.361511216,7,47,3.850147602,1.672097858,1.348111486,0.298704714,7.394142028,10.97340383,13.13873441,14.12649572,7,1597,1364,3.13481437,0.496211829,7,199,152,2.181843588,0.338823614
8,0.649065115,8,3.135494216,8,1.361727836,8,6,8,521,0.434063699,8,148091,11.90558223,5.170528666,2.477007385,0.907051132,13.58592713,14.31007135,14.59489282,14.70298799,8,28657,27060,4.432327792,0.646631871,8,521,322,2.507855872,0.399302574
9,0.756724066,9,3.36729583,9,1.462397998,9,6,9,2207,0.524240596,,,,,,,,,,,9,514229,485572,5.686253636,0.754826228,9,2207,1686,3.22685757,0.508779797
10,0.936362091,10,3.761200116,10,1.633468456,10,14,10,3571,0.550569519,,,,,,,,,,,10,433494437,432980208,8.636468045,0.93633617,10,3571,1364,3.13481437,0.496211829
11,0.976484516,11,3.850147602,11,1.672097858,11,4,11,9349,0.598874203,,,,,,,,,,,11,2971215073,2537720636,9.404443811,0.973333116,11,9349,5778,3.761777538,0.575393109
12,1.230359221,12,4.418840608,12,1.919078092,12,36,12,3010349,0.811482296,,,,,,,,,,,12,9.92E+16,9.92E+16,16.99648913,1.230359221,12,3010349,3001000,6.477265995,0.811391732
13,1.431812237,13,4.875197323,13,2.117271296,13,48,13,54018521,0.888322326,,,,,,,,,,,13,1.07E+27,1.07E+27,27.02789587,1.431812237,13,54018521,51008172,7.70763976,0.886921408
14,1.45150738,14,4.919980926,14,2.136720567,14,6,14,370248451,0.932904459,,,,,,,,,,,14,1.91E+28,1.81E+28,28.25691878,1.451124803,14,370248451,316229930,8.500002972,0.929419078
