,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,x,Lucas Primes,Differences,log(differences),log(log(differences))
0,0,0,0,0,0,1,2.0,1.0,0.0,0.0
1,1,1,1,1,1,2,3.0,4.0,0.60205999132796,-0.5073981852696788
2,2,2,2,2,2,3,7.0,4.0,0.60205999132796,-0.5073981852696788
3,3,3,3,3,3,4,11.0,18.0,1.2552725051033,0.22735268455371577
4,4,4,4,4,4,5,29.0,18.0,1.2552725051033,0.22735268455371577
5,5,5,5,5,5,6,47.0,152.0,2.1818435879448,0.7801702019564788
6,6,6,6,6,6,7,199.0,322.0,2.5078558716958,0.9194281536934414
7,7,7,7,7,7,8,521.0,1686.0,3.226857570288701,1.1715087752159068
8,8,8,8,8,8,9,2207.0,1364.0,3.1348143703205,1.142569960312804
9,9,9,9,9,9,10,3571.0,5778.0,3.761777537508201,1.3248915950283289
10,10,10,10,10,10,11,9349.0,3001000.0,6.4772659954249,1.8682985070470268
11,11,11,11,11,11,12,3010349.0,51008172.0,7.7076397598272,2.0422120135786983
12,12,12,12,12,12,13,54018521.0,316229930.0,8.5000029719172,2.1400665131335272
13,13,13,13,13,13,14,370248451.0,6273590428.0,9.797516162327,2.2821289007281558
14,14,14,14,14,14,15,6643838879.0,112575012492.0,11.051442003826999,2.4025609175335187
15,15,15,15,15,15,16,119218851371.0,5481529442430.0,12.738901751136,2.5446604416507776
16,16,16,16,16,16,17,5600748293801.0,683245754294598.0,14.834576941657,2.6969607357532053
17,17,17,17,17,17,18,688846502588399.0,3.17e+16,16.500679602401,2.8034015680826347
18,18,18,18,18,18,19,3.24e+16,4.13e+23,23.615602897983,3.161907633320007
19,19,19,19,19,19,20,4.13e+23,2.5900000000000003e+65,65.413132050435,4.18072303418457
20,20,20,20,20,20,21,2.5900000000000003e+65,5.920000000000003e+73,73.772637042598,4.300987891073061
21,21,21,21,21,21,22,5.920000000000003e+73,1.3200000000000004e+105,105.1207844472,4.655110017105717
22,22,22,22,22,22,23,1.3200000000000004e+105,1.2900000000000013e+128,128.10942329347,4.85288476820705
23,23,23,23,23,23,24,1.2900000000000013e+128,7.530000000000004e+128,128.87688378696998,4.85885755939398
24,24,24,24,24,24,25,8.820000000000011e+128,2.270000000000001e+180,180.35633377185002,5.194934526066674
